Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
pants,1.307313,1462.115296,2702.569964,2926.354585,4405.321782
pants,1.313563,1298.665970,2097.945196,3706.889354,4409.451275
pants,1.319813,958.655987,1930.601533,3691.438514,4377.045646
pants,1.326063,1324.400763,2064.848338,3716.591273,4473.824616
pants,1.332313,1735.979867,1846.005800,3646.454227,4484.301663
pants,1.338563,1715.938549,3600.009265,--undefined--,--undefined--
pants,1.344813,1231.594347,2070.553358,3733.786582,4481.702082
pants,1.351063,1118.120360,2316.734138,3725.504818,4429.604582
pants,1.357313,1234.544780,3243.191785,3708.177859,4325.399493
pants,1.363563,1399.248571,3319.447804,4300.423398,4493.847977
pants,1.369813,1385.487487,3286.852736,3978.457278,4474.301906
pants,1.376063,1422.442165,3365.170117,3488.679372,4384.854062
pants,1.382313,1707.179965,3470.774536,--undefined--,--undefined--
pants,1.388563,197.599604,1983.429428,3333.434404,4364.899569
pants,1.394813,1286.943245,2296.339436,3719.587544,4400.534131
pants,1.401063,1166.615964,2209.700590,3708.404102,4467.977670
pants,1.407313,1202.089768,2141.885770,3581.658509,4524.314468
pants,1.413563,1304.989722,2175.053157,3515.439942,4522.727680
pants,1.419813,1233.061857,2244.421934,3526.698534,4584.595809
pants,1.426063,1208.096464,2321.448286,3295.420767,4642.352453
pants,1.432313,1242.226878,2359.636732,3183.290938,4602.674325
look,1.438563,1289.243680,2211.873270,3246.174869,4569.488989
look,1.444813,1354.230137,2096.044229,2930.802057,4522.963679
look,1.451063,1589.812486,2908.410604,--undefined--,--undefined--
look,1.457313,226.691312,1453.969973,2902.654544,4012.322373
look,1.463563,235.683262,1230.225886,2493.682598,3838.886605
look,1.469813,264.741769,1406.231980,2550.012815,4344.291739
look,1.476063,269.275365,1425.949040,2620.232979,4194.051840
look,1.482313,290.244003,1382.699647,2582.962883,3712.914675
look,1.488563,303.779530,1418.700522,2438.819344,3686.135290
look,1.494813,324.138332,1449.551956,2300.265906,3702.985811
look,1.501063,315.129777,1591.137554,3173.064752,3262.084741
look,1.507313,800.084080,2121.981940,3355.515155,4860.206266
look,1.513563,1083.062045,2156.540151,3425.666367,4919.034525
look,1.519813,995.618268,1860.846733,3315.657922,4454.097787
look,1.526063,179.233180,1410.504124,3161.947898,3412.636960
look,1.532313,447.744560,1433.079839,3486.953312,4421.349405
look,1.538563,449.719490,1292.319173,2240.402353,3580.924967
look,1.544813,435.743777,1279.607288,2239.528825,3566.146569
look,1.551063,440.439370,1308.915058,2187.958982,3576.908221
look,1.557313,415.306088,1299.519215,2131.140600,3530.818718
look,1.563563,417.722417,1314.463907,2176.759364,3588.836166
look,1.569813,432.520745,1308.139226,2510.883739,3601.956459
look,1.576063,395.089377,1281.287053,2430.023465,3555.593757
look,1.582313,406.993221,1249.035547,2115.815512,3551.880608
look,1.588563,408.957800,1229.062561,2108.291612,3564.745000
look,1.594813,387.512123,1222.873994,2128.152270,3550.648214
look,1.601063,406.392448,1248.535110,2174.785871,3512.768907
look,1.607313,384.022993,1207.027500,2235.526326,3527.206150
look,1.613563,316.173723,1215.399939,2317.276206,3562.115081
look,1.619813,314.025972,1214.052435,2481.989346,3607.623197
look,1.626063,76.040434,1216.532813,2366.927600,3657.292796
look,1.632313,1223.167490,2232.221379,3533.175820,4640.239141
look,1.638563,1183.669564,2303.039794,3838.829914,4554.443931
look,1.644813,1315.456953,2321.308461,3897.270178,4744.577196
look,1.651063,1470.093367,2523.440427,3993.989937,5129.698556
look,1.657313,1487.471350,2426.032969,--undefined--,--undefined--
look,1.663563,1884.341003,2904.054342,--undefined--,--undefined--
look,1.669813,707.182437,1924.419228,2803.817488,4263.173615
look,1.676063,1250.242628,2167.882562,2225.358911,4502.511202
look,1.682313,1228.307701,2391.034422,--undefined--,--undefined--
look,1.688563,1429.471420,2302.735328,--undefined--,--undefined--
look,1.694813,1769.101277,2699.392420,--undefined--,--undefined--
look,1.701063,1313.541297,2339.914359,3793.541861,5056.958160
look,1.707313,1186.054096,2244.726153,3486.743839,4997.882545
look,1.713563,1440.259643,2341.658736,3623.636912,4919.031850
look,1.719813,1486.670455,2367.545169,--undefined--,--undefined--
look,1.726063,1178.366175,2002.540948,2645.029339,4469.623077
look,1.732313,1588.812091,2570.079867,--undefined--,--undefined--
look,1.738563,947.315256,1962.501063,2714.714120,4471.978308
look,1.744813,1006.756320,1983.113191,3044.291649,4551.427902
look,1.751063,1130.046372,2061.910328,3424.438249,4729.377616
look,1.757313,1142.431781,2147.274585,2963.457429,4346.009468
look,1.763563,1563.777984,1820.398888,2389.968640,4440.160605
look,1.769813,1590.228481,2426.784097,3718.929848,4633.395697
look,1.776063,1166.689621,2132.183204,2721.681362,4612.250190
look,1.782313,1069.426697,2059.520177,2983.682098,4525.604964
great,1.788563,1145.887881,1821.905936,2776.966526,4422.331244
great,1.794813,1778.183891,2565.771465,--undefined--,--undefined--
great,1.801063,1673.905645,2509.067804,--undefined--,--undefined--
great,1.807313,1217.786392,2204.520726,2347.719896,4425.395055
great,1.813563,1167.401667,2326.763565,3476.621758,4901.001261
great,1.819813,1168.061462,2327.897901,3356.042962,4702.518033
great,1.826063,1135.507994,2304.248754,3723.139504,5037.180587
great,1.832313,1055.309698,1863.207275,3486.594728,3687.814457
great,1.838563,1033.412734,1706.011543,3518.322213,3695.280013
great,1.844813,1038.772932,2120.522633,--undefined--,--undefined--
great,1.851063,1099.425824,2383.276331,3668.908647,5104.451708
great,1.857313,1084.366801,2440.603779,3483.564339,4896.681046
great,1.863563,1078.666165,2442.182718,3431.156210,4143.496495
great,1.869813,989.797080,2261.219797,3733.801883,4790.080144
great,1.876063,351.828807,1050.412252,2060.763685,3719.556746
great,1.882313,331.799594,1069.390085,2000.630070,3529.868609
great,1.888563,411.500417,1095.185746,1980.223309,3552.867082
great,1.894813,319.872585,1109.085297,1996.512500,3533.183119
great,1.901063,370.323036,1168.615493,2024.954469,3471.299464
great,1.907313,481.172642,1242.105566,2037.173528,3415.695444
great,1.913563,463.498555,1302.829985,2068.593672,3418.179086
great,1.919813,483.720590,1386.486529,2088.132906,3446.505986
great,1.926063,550.760258,1448.080411,2074.856438,3478.125957
great,1.932313,524.431780,1491.549861,2103.849095,3463.292863
great,1.938563,506.608119,1519.443134,2109.678537,3466.496961
great,1.944813,543.784909,1548.316830,2127.512901,3482.784419
great,1.951063,513.246278,1600.025936,2135.828487,3533.702073
great,1.957313,501.786366,1616.384514,2059.995734,3546.699396
great,1.963563,511.556767,1645.480532,2062.675171,3549.112598
great,1.969813,502.194919,1700.741401,2150.788379,3588.740418
great,1.976063,496.167684,1715.847774,2147.599713,3575.088712
great,1.982313,489.539524,1747.208269,2169.782101,3603.960267
great,1.988563,477.665444,1776.401676,2178.571850,3538.110266
great,1.994813,470.583383,1814.148552,2231.744446,3596.421710
great,2.001063,440.018770,1829.409548,2230.058490,3417.858998
great,2.007313,428.308674,1853.250980,2237.109599,3385.203474
great,2.013563,431.505055,1898.424796,2272.618945,3505.744724
great,2.019813,419.192829,1943.055229,2351.331340,3336.358571
great,2.026063,385.740700,1959.843669,2457.369835,3515.674009
great,2.032313,376.429024,1947.510913,2487.907923,3459.495891
great,2.038563,333.116572,1894.189783,2507.471580,3865.971285
great,2.044813,302.591180,1889.061715,2540.472783,3947.020861
great,2.051063,323.777210,1982.356222,2692.999428,3995.760228
great,2.057313,325.556152,1967.147823,2962.229061,4106.859298
great,2.063563,287.247059,2003.647005,3010.096247,4090.750811
great,2.069813,298.954245,1988.312627,3066.348604,3604.868455
great,2.076063,308.222186,1979.794223,3041.589615,3066.998483
great,2.082313,277.040690,1930.484017,2863.455449,4178.290319
great,2.088563,279.835741,1889.226261,2585.558747,3442.157917
great,2.094813,302.879810,1672.448473,2483.811423,3656.746042
great,2.101063,243.024392,1462.867269,2542.033713,3856.761947
great,2.107313,1649.599492,2713.544018,--undefined--,--undefined--
great,2.113563,782.834126,1951.129198,2806.284848,4186.661405
great,2.119813,1570.270295,2652.059543,--undefined--,--undefined--
great,2.126063,1432.350299,2494.140214,3746.679223,4858.378269
great,2.132313,1297.187699,2403.096347,3672.237066,4817.359142
great,2.138563,1350.103598,2439.564414,3634.992081,4828.648112
great,2.144813,185.233276,1570.078072,2459.186366,3805.771021
great,2.151063,1637.125577,2446.353380,--undefined--,--undefined--
great,2.157313,1478.825848,2302.325128,3841.152810,4893.960447
great,2.163563,1299.842488,2259.597484,3974.990260,4669.496782
great,2.169813,1054.511970,2071.438928,2760.459039,4178.292102
great,2.176063,1214.123340,2116.015980,3047.128816,4428.965117
great,2.182313,1328.843299,2343.071936,3176.888323,4433.535863
great,2.188563,1275.233179,2405.989279,3192.316772,4426.523116
great,2.194813,1080.971697,2097.768547,2749.602142,4330.823470
great,2.201063,1110.335463,1893.969454,2847.550471,4346.668872
great,2.207313,1195.478042,2067.840905,2740.081517,4188.866650
great,2.213563,1115.985428,2198.628022,2705.602435,4199.091229
great,2.219813,1187.164587,2413.236045,2755.550465,3943.417181
great,2.226063,1235.066099,2405.307430,3772.568926,4726.235364
great,2.232313,1243.203258,2392.294694,3659.531615,4449.866776
great,2.238563,1168.547358,2309.446435,3639.697734,4525.307016
great,2.244813,1181.937273,2242.273194,3621.677738,4582.897334
great,2.251063,1436.575769,2386.347735,3666.290658,4584.192844
great,2.257313,1671.948051,2417.116696,4091.594919,4539.137771
great,2.263563,1437.185601,1919.778313,3412.932805,4448.740253
great,2.269813,1023.049959,1962.098224,3563.515389,4439.616760
great,2.276063,1275.402118,2107.334252,3501.297343,4380.895518
great,2.282313,1313.056951,2026.452971,3460.073462,4367.966543
great,2.288563,1212.947561,2065.806442,3494.305593,4467.651847
great,2.294813,1390.331625,2095.847511,3507.875154,4523.904328
great,2.301063,1501.613183,2515.623081,3643.259992,4454.522078
great,2.307313,1256.042577,2253.154113,3617.708347,4432.166393
great,2.313563,1262.720147,2027.418491,3542.446362,4358.552497
great,2.319813,1035.369610,2009.595077,3527.254404,4412.556763
great,2.326063,1215.632219,1891.461068,3317.814712,4251.008537
great,2.332313,931.189703,1940.477208,3297.735145,4263.517113
great,2.338563,1047.885375,2097.801699,3482.747298,4278.546743
great,2.344813,1173.293265,2154.429545,3576.905147,4215.602993
great,2.351063,1314.322287,2224.327666,3742.345952,4489.349598
great,2.357313,1335.536689,2220.216065,3675.200606,4726.657930
